2024-06-05 16:06:43 [INFO] 加速度计X: 0.16, Y: -0.19, Z: 9.83
2024-06-05 16:06:43 [INFO] 陀螺仪X: 0.00, Y: 0.00, Z: 0.00
2024-06-05 16:06:43 [INFO] 磁力计X: 3.79, Y: 56.41, Z: 40.36
2024-06-05 16:06:44 [INFO] 加速度计X: 0.16, Y: -0.19, Z: 9.84
2024-06-05 16:06:44 [INFO] 陀螺仪X: 0.00, Y: -0.00, Z: -0.00
2024-06-05 16:06:44 [INFO] 磁力计X: 4.13, Y: 55.94, Z: 40.48
2024-06-05 16:06:45 [INFO] 加速度计X: 0.16, Y: -0.19, Z: 9.82
2024-06-05 16:06:45 [INFO] 陀螺仪X: -0.00, Y: -0.00, Z: -0.00
2024-06-05 16:06:45 [INFO] 磁力计X: 4.23, Y: 55.82, Z: 40.62
2024-06-05 16:06:46 [INFO] 加速度计X: 0.16, Y: -0.19, Z: 9.81
2024-06-05 16:06:46 [INFO] 陀螺仪X: 0.00, Y: -0.00, Z: 0.00
2024-06-05 16:06:46 [INFO] 磁力计X: 4.16, Y: 55.99, Z: 40.62
2024-06-05 16:06:47 [INFO] 加速度计X: 0.16, Y: -0.19, Z: 9.82
2024-06-05 16:06:47 [INFO] 陀螺仪X: 0.00, Y: -0.00, Z: -0.00
2024-06-05 16:06:47 [INFO] 磁力计X: 4.01, Y: 56.01, Z: 40.63
2024-06-05 16:06:49 [INFO] 加速度计X: 0.16, Y: -0.19, Z: 9.83
2024-06-05 16:06:49 [INFO] 陀螺仪X: -0.00, Y: -0.00, Z: 0.00
2024-06-05 16:06:49 [INFO] 磁力计X: 3.75, Y: 56.25, Z: 40.49
2024-06-05 16:06:50 [INFO] 加速度计X: 0.16, Y: -0.19, Z: 9.84
2024-06-05 16:06:50 [INFO] 陀螺仪X: 0.00, Y: 0.01, Z: -0.00
2024-06-05 16:06:50 [INFO] 磁力计X: 3.98, Y: 55.96, Z: 40.73
2024-06-05 16:06:51 [INFO] 加速度计X: 0.16, Y: -0.18, Z: 9.81
2024-06-05 16:06:51 [INFO] 陀螺仪X: 0.00, Y: 0.00, Z: -0.00
2024-06-05 16:06:51 [INFO] 磁力计X: 3.92, Y: 56.12, Z: 40.37
2024-06-05 16:06:52 [INFO] 加速度计X: 0.17, Y: -0.19, Z: 9.82
2024-06-05 16:06:52 [INFO] 陀螺仪X: 0.00, Y: -0.00, Z: 0.00
2024-06-05 16:06:52 [INFO] 磁力计X: 3.61, Y: 56.24, Z: 40.70
2024-06-05 16:06:53 [INFO] 加速度计X: 0.17, Y: -0.19, Z: 9.82
2024-06-05 16:06:53 [INFO] 陀螺仪X: 0.00, Y: -0.00, Z: 0.00
2024-06-05 16:06:53 [INFO] 磁力计X: 3.61, Y: 56.24, Z: 40.70
2024-06-05 16:06:54 [INFO] 加速度计X: 0.17, Y: -0.19, Z: 9.82
2024-06-05 16:06:54 [INFO] 陀螺仪X: 0.00, Y: -0.00, Z: 0.00
2024-06-05 16:06:54 [INFO] 磁力计X: 3.61, Y: 56.24, Z: 40.70
2024-06-05 16:06:55 [INFO] 加速度计X: 0.17, Y: -0.19, Z: 9.82
2024-06-05 16:06:55 [INFO] 陀螺仪X: 0.00, Y: -0.00, Z: 0.00
2024-06-05 16:06:55 [INFO] 磁力计X: 3.61, Y: 56.24, Z: 40.70
2024-06-05 16:06:56 [INFO] 加速度计X: 0.17, Y: -0.19, Z: 9.82
2024-06-05 16:06:56 [INFO] 陀螺仪X: 0.00, Y: -0.00, Z: 0.00
2024-06-05 16:06:56 [INFO] 磁力计X: 3.61, Y: 56.24, Z: 40.70
2024-06-05 16:06:58 [INFO] 加速度计X: 0.17, Y: -0.19, Z: 9.82
2024-06-05 16:06:58 [INFO] 陀螺仪X: 0.00, Y: -0.00, Z: 0.00
2024-06-05 16:06:58 [INFO] 磁力计X: 3.61, Y: 56.24, Z: 40.70
